iso3,country,hdicode,le_2021,eys_2021,mys_2021,gnipc_2021,ineq_le_2021,gii_2021,mf_2021,co2_prod_2021,lat
CHN,China,High,78.2107,14.2361149,7.600118446,17504.39969,5.263178825,0.192,21.96,7.411735759,34.21
CIV,Côte d'Ivoire,Medium,58.5983,10.67558002,5.199138977,5217.448516,30.35745239,0.613,3.26,0.381780097,7.816
CMR,Cameroon,Medium,60.3334,13.10859922,6.15131,3620.932408,28.48371506,0.565,2.13,0.259524431,5.711
COD,Congo (Democratic Republic of the),Low,59.193,9.817864451,7.018696516,1076.098781,31.660045620000002,0.601,2.75,0.027660353,-1.42966666666665
COG,Congo,Medium,63.5187,12.33081527,6.166,2889.283521,20.98684311,0.564,1.88,0.564833429,-0.5275
COL,Colombia,High,72.8296,14.44274998,8.862859726,14384.35666,9.370814323,0.424,9.09,1.751176049,3.825
CRI,Costa Rica,Very High,77.0232,16.54577065,8.804059982,19974.27358,5.891644001,0.256,14.43,1.552260862,9.9855
CUB,Cuba,High,73.6829,14.44305992,12.49773438,7878.847482,4.628062248,0.303,9.19,1.779198659,21.88258325
CYP,Cyprus,Very High,81.2033,15.64826965,12.44017029,38188.42152,2.644016027,0.123,36.58,5.380504059,35.0215
CZE,Czechia,Very High,77.7283,16.21968079,12.86931038,38745.21386,3.112524748,0.12,21.3,8.215039321,49.81075
DEU,Germany,Very High,80.6301,17.01013947,14.09096691,54534.21682,3.408158779,0.073,19.4,7.690141865,51.20333333333333
DNK,Denmark,Very High,81.3753,18.71479988,12.96049023,60364.78595,3.006301165,0.013,25.86,4.522442415,56.028999999999996
DOM,Dominican Republic,High,72.6146,14.46655802,9.3068641070000009,17989.60037,17.5623951,0.429,9.54,2.559875589,19.0075
DZA,Algeria,High,76.3767,14.62689602,8.069284397,10800.22546,12.43080425,0.499,11.21,3.534590875,28.0815
ECU,Ecuador,High,73.67,14.62423038,8.817119598,10311.63273,8.870192528,0.362,7.74,1.753199871,-1.545
EGY,Egypt,High,70.2207,13.78649972,9.573026174,11731.69056,10.67237949,0.443,8.22,2.085874268,26.747
ESP,Spain,Very High,83.01,17.91690063,10.60540009,38353.60164,2.883327961,0.057,13.48,4.468313378,40.1135
EST,Estonia,Very High,77.1436,15.92895985,13.54843044,38048.26372,2.925558805,0.1,37.53,7.879475476,58.837
ETH,Ethiopia,Low,64.9748,9.651071421,3.201520681,2361.069604,23.12960052,0.52,0.47,0.127560389,8.4065
FIN,Finland,Very High,82.0381,19.05192947,12.87362003,49452.16672,2.774231195,0.033,36.73,7.090703013,64.25200000000001
FRA,France,Very High,82.4988,15.81206989,11.61005974,45937.05273,3.816274166,0.083,17.1,4.23807293,45.73420633333333
